id	Group	pielou_evenness
FMT.C571	C57	0.776371150992353
FMT.C572	C57	0.736460491454192
FMT.C573	C57	0.728161189670445
FMT.C574	C57	0.789391931208647
FMT.C575	C57	0.777324656787604
FMT.SHED1	SHED	0.784621112595382
FMT.SHED2	SHED	0.751936085935677
FMT.SHED3	SHED	0.784118291908459
FMT.SHED4	SHED	0.784795638446745
FMT.ADSC1	ADSC	0.780104587126664
FMT.ADSC2	ADSC	0.771309142488234
FMT.ADSC3	ADSC	0.776300581421376
FMT.ADSC4	ADSC	0.78560538130036
FMT.ADSC5	ADSC	0.741434416667625
FMT.HUCMSC1	HUCMSC	0.795664292000903
FMT.HUCMSC2	HUCMSC	0.758474752966153
FMT.HUCMSC3	HUCMSC	0.777957640463216
FMT.HUCMSC4	HUCMSC	0.766954425117316
FMT.HUCMSC5	HUCMSC	0.762261493262578
FMT.NACL1	NACL	0.798112688467629
FMT.NACL2	NACL	0.71800878604002
FMT.NACL3	NACL	0.709372747633984
FMT.NACL5	NACL	0.800001978109835
