SampleID	Group	Name	raw_name	new_name
FMT.C571	C57	C571	4.17-1	FMT.C571
FMT.C572	C57	C572	4.17-3	FMT.C572
FMT.C573	C57	C573	4.17-4	FMT.C573
FMT.C574	C57	C574	4.17-5	FMT.C574
FMT.C575	C57	C575	4.17-8	FMT.C575
FMT.SHED1	SHED	SHED1	4.17-9	FMT.SHED1
FMT.SHED2	SHED	SHED2	4.17-20	FMT.SHED2
FMT.SHED3	SHED	SHED3	4.17-21	FMT.SHED3
FMT.SHED4	SHED	SHED4	4.17-23	FMT.SHED4
FMT.SHED5	SHED	SHED5	4.17-24	FMT.SHED5
FMT.ADSC1	ADSC	ADSC1	4.17-34	FMT.ADSC1
FMT.ADSC2	ADSC	ADSC2	4.17-35	FMT.ADSC2
FMT.ADSC3	ADSC	ADSC3	4.17-39	FMT.ADSC3
FMT.ADSC4	ADSC	ADSC4	4.17-41	FMT.ADSC4
FMT.ADSC5	ADSC	ADSC5	4.17-37	FMT.ADSC5
FMT.HUCMSC1	HUCMSC	HUCMSC1	4.17-43	FMT.HUCMSC1
FMT.HUCMSC2	HUCMSC	HUCMSC2	4.17-48	FMT.HUCMSC2
FMT.HUCMSC3	HUCMSC	HUCMSC3	4.17-51	FMT.HUCMSC3
FMT.HUCMSC4	HUCMSC	HUCMSC4	4.17-52	FMT.HUCMSC4
FMT.HUCMSC5	HUCMSC	HUCMSC5	4.17-55	FMT.HUCMSC5
FMT.NACL1	NACL	NACL1	4.17-95	FMT.NACL1
FMT.NACL2	NACL	NACL2	4.17-96	FMT.NACL2
FMT.NACL3	NACL	NACL3	4.17-97	FMT.NACL3
FMT.NACL4	NACL	NACL4	4.17-98	FMT.NACL4
FMT.NACL5	NACL	NACL5	4.17-99	FMT.NACL5
